company name,location,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,Certificates,,Other Certificates,supplier_url,exhibitor_url,Company Background
Mavlian International Co.,Lebanon,"Retailer, Importer, Wholesaler, Distributor, Manufacturer","Brandname Watch, Mens Watch, Quartz Analogue Watch, Skeleton Mechanical Watch, Chronograph Watch, Ladies Watch, Mechanical Hands & Digital Watch, Solar Watch, Brandname Watch, Mens Watch, Quartz Analogue Watch, Skeleton Mechanical Watch, Chronograph Watch, Ladies Watch, Mechanical Hands & Digital Watch, Solar Watch, Brandname Watch, Mens Watch, Quartz Analogue Watch, Skeleton Mechanical Watch, Chronograph Watch, Ladies Watch, Mechanical Hands & Digital Watch, Solar Watch","Complete watches, For man and women sporty and fashion designs . Japan movement, solar Automatic amd quarts movement",OEM,"Claudia Koch,Alexus Christy",www.claudiakochwatches.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mavlian-International-Co-/1X0A3U6C?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NCRF?fairCode=hkwatchfair&locale=en,
Gordon C. & Company Limited,Hong Kong,"Service Company, Exporter, Manufacturer, Wholesaler, Trade/Industrial Organisation","Moon Phase Mechanical Watch, Chronograph Watch, Diver Watch, Skeleton Mechanical Watch, Mens Watch, Ladies Watch, Jewelled-lever Automatic Watch, Pilot Watch, Quartz Analogue Watch",Gordon C & Co can meet your exact requirements and will endeavor to provide a one-stop watch design and production service. We organize regular audio-visual conferences with our global clients in order to keep in close contact and provide reports.,"OEM, ODM",,gordonc.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 Hong Kong Watch Misison to Bangkok, Thailand HKTDC Hong Kong Watch & Clock Fair 2023 Hong Kong Watch and Clock Mission to UAE (Dubai) HKTDC Hong Kong Watch & Clock Fair 2021 Show More",,,ISO 9001:2000 Issued By - Type - Valid Date (N/A) - (N/A) Q-Mark License Issued By - Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Gordon-C-Co-Ltd/1X00IYKM?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NJIZ?fairCode=hkwatchfair&locale=en,
"Hanfeng Watch & Accessories Co., Ltd.",Hong Kong,"Manufacturer, Wholesaler",,"Our products include: stainless steel watches, mechanical watches ,wooden watches and also alloy watches. our average production capacity is 100,000 pcs each month, our customers come from America, Europe and the Middle East and also domestic. OEM an",OEM,,www.hanfengwatches.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2014,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hanfeng-Watch-Accessories-Co-Ltd-/1X08NXRI?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MIXR?fairCode=hkwatchfair&locale=en,
Hong Kong Hing Yip Development Limited,Hong Kong,Manufacturer,"Rubber Watch Band, Silicone Watch Band, Leather Watch Band",We supply real leather straps as well as silicone bands for watches.,"ODM, OEM, OBM",,www.hkhingyip.com.hk,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Gifts & Premium Fair 2022 BASELWORLD 2021 The World Watch and Jewellery Show, Basel, Switzerland Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hong-Kong-Hing-Yip-Development-Limited/1X0AG5XO?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MIYO?fairCode=hkwatchfair&locale=en,
"Meiko Watch Industry Co., Limited",Hong Kong,"Manufacturer, Exporter","24 Hour Dial Mechanical Watch, Kids Watch, Pilot Watch, Skeleton Mechanical Watch, Chronograph Watch, Mechanical Hands & Digital Watch, Quartz Analogue Watch, Ladies Watch, Sports Timer Watch, Mens Watch, Diver Watch",Complete watches manufacture and design service for OEM/SKD projects,"ODM, Others, OEM",,www.meiko.tw,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2019,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/MEIKO-WATCH-INDUSTRY-CO-LTD/1X0AUMVB?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJPE?fairCode=hkwatchfair&locale=en,
Mfswo Limited,Hong Kong,Manufacturer,"Diver Watch, Quartz Analogue Watch, Sports Timer Watch, Chronograph Watch, Jewelled-lever Automatic Watch, Mens Watch, Designer Watch","stainless steel watch, carbon fiber watch, dive watch, skeleton watch","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/mfswo-limited/1S00O8DU5?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJKT?fairCode=hkwatchfair&locale=en,
PX Int'l Ltd.,Hong Kong,Exporter,"Ladies Watch, Mens Watch","WE ARE SELLING ""NAVIMARINE"" WATCHES NEARLY HUNDREDS OF NEW MODELS AND EACH MORE THEN 6 DIFFERENCE COLORS COMBINATIONS FOR OUR CLIENTS TO SELL IN THE MARKET... THIS IS EASILY FOR THE END CUSTOMERS TO BUY MORE THEN 1PC AS TO BE A FASHIONER","OEM, ODM",NAVIMARINE,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/PX-INT-L-LTD-/1S00P33Z0?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005N0N3?fairCode=hkwatchfair&locale=en,
Po Tak Lee Enterprise Ltd,Hong Kong,Manufacturer,"PVC Packaging Box, Advertising Equipment, Tin Box, Metal Box & Can, PVC Packaging Bag, Watch Box, PVC Packaging Box, Advertising Equipment, Tin Box, Metal Box & Can, PVC Packaging Bag, Watch Box","watch box , display , watch winder , packaging","OEM, Others, ODM, OBM",,www.potaklee.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2021 HKTDC Hong Kong Watch & Clock Fair 2019 Show More,,,FSC Issued By GFA Type FSC Valid Date 05 Jul 2021 - 04 Jul 2026 ISO 9001:2015 Issued By UICC Type ISO_9001 Valid Date 03 Nov 2021 - 18 Oct 2024 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Po-Tak-Lee-Enterprise-Ltd/1X00IDKD?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MI53?fairCode=hkwatchfair&locale=en,
TEC Technology Elegance Components Ltd,Hong Kong,Exporter,"Diver Watch, Quartz Analogue Watch, Mens Watch, Ladies Watch",COMPLETE WATCHES,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2021 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/TEC-Technology-Elegance-Components-Ltd/1X00J17Q?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MI7X?fairCode=hkwatchfair&locale=en,
"Trade Mix Co., Ltd.",Hong Kong,Manufacturer,"Skeleton Mechanical Watch, Chronograph Watch, Promotional Watch, 24 Hour Dial Mechanical Watch, Sports Timer Watch, Ladies Watch, Mens Watch, Solar Watch, Quartz Analogue Watch, Diver Watch","Stainless steel sporty, automatic, lady, classic, fashion, diving watches","OEM, ODM","TM,Go Go Sporty",www.trademix.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 BASELWORLD 2019 - The Watch and Jewellery Show HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Electronics Fair (Spring Edition) 2018 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Trade-Mix-Co-Ltd/1X002954?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJF8?fairCode=hkwatchfair&locale=en,
Trust Time Co,Hong Kong,Manufacturer,"Kids Watch, Promotional Watch, Ladies Watch, Quartz Analogue Watch, Pendant Watch, Designer Watch, Mens Watch, Brandname Watch",Fashion Watches,"OEM, ODM",LIGHT-&-SALT,www.trusttime.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Fashion InStyle 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Trust-Time-Co-o-b-Lead-Shine-Limited/1X0AG5E7?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NLZI?fairCode=hkwatchfair&locale=en,
Tutima (Hong Kong) Limited,Hong Kong,Manufacturer,"Brandname Watch, Brandname Watch, Brandname Watch",Boccia Titanium Watches,OBM,BOCCIA TITANIUM,bocciatitanium.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2019 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tutima-Hong-Kong-Ltd/1X04NF6L?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NCLX?fairCode=hkwatchfair&locale=en,
Wilboson Watch Co Limited,Hong Kong,"Shopping Mall, Chain Store, Export Agent, Department Store, Distributor","Ladies Watch, Chronograph Watch, Mens Watch, Quartz Analogue Watch, Kids Watch","Quartz watch, mechanical watch","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wilboson-Watch-Co-Limited/1S00OFA82?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005N0FR?fairCode=hkwatchfair&locale=en,
Xin Long Da Watches Industry (Hong Kong) Limited,Hong Kong,"Exporter, Manufacturer","Quartz Analogue Watch, Mens Watch, Mechanical Hands & Digital Watch, Ladies Watch, Chronograph Watch, Digital Watch, Skeleton Mechanical Watch, 24 Hour Dial Mechanical Watch, Sports Timer Watch","With a focus on crystal fashion watches,quartz watches,and mechanical watches,we boast a remarkable 34 years of experience in the watch manufacturing industry.Our dedicated team is committed to product design,development,quality control,inspection...","OEM, ODM",,www.davena.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017,,,ISO 9001 Issued By Beiiing Daluhangxing QualityCertification Center Co.. Ltd. Type ISO_9001 Valid Date 08 Sep 2022 - 07 Sep 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xin-Long-Da-Watches-Industry-Hong-Kong-Limited/1X0A3U5D?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJVW?fairCode=hkwatchfair&locale=en,"Founded in 2011, the company is a business with a long history. Location: It is located Heyuan, Guangdong. Scale: The company covers an area of about 20000 square meters,a large scale, with a certain production capacity and market influence. Focus: The company focuses on the research and development,production and sales of fashion crystal watches, is a whole industry chain enterprise, with high industry competitiveness. Enterprise type: The company is a national high-tech and national regulatory enterprise, indicating that it has a high level of science and technology and innovation ability, is the leader in the industry. Transformation: The company is also a digital intelligent transformation enterprise and an innovative small and medium-sized enterprise, indicating that it actively embraces the development trend of digitalization and intelligence, and constantly explores and innovates,maintaining the vitality and competitiveness of the enterprise."
Dongguan Jihaoyuan Packing Products Ltd,Chinese Mainland,"Manufacturer, Exporter",Watch Box,Watch Box,"OEM, OBM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC International Sourcing Show 2021 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 Show More,,,Business License Issued By - Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Jihaoyuan-Packing-Products-Ltd/1X097URR?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RQHV?fairCode=hkwatchfair&locale=en,
"Guangdong Star Rudder Technology Co.,LTD",Chinese Mainland,"Wholesaler, Manufacturer, Retailer","Chronograph Watch, Quartz Analogue Watch, 24 Hour Dial Mechanical Watch, Mechanical Hands & Digital Watch, Digital Watch, Brandname Watch, Sports Timer Watch, Diver Watch, Ladies Watch, Mens Watch, Chronograph Watch, Quartz Analogue Watch, 24 Hour Dial Mechanical Watch, Mechanical Hands & Digital Watch, Digital Watch, Brandname Watch, Sports Timer Watch, Diver Watch, Ladies Watch, Mens Watch, Chronograph Watch, Quartz Analogue Watch, 24 Hour Dial Mechanical Watch, Mechanical Hands & Digital Watch, Digital Watch, Brandname Watch, Sports Timer Watch, Diver Watch, Ladies Watch, Mens Watch",星舵钟表旗下拥有全球二十多个石英表品牌，其中哈雷表品牌创立于贰零零叁年，二十年来深耕东南亚、中东、欧美等市场，在海内外广大客户中拥有很高的知名度和美誉度。哈雷表近年来一只深受终端消费市场的喜爱和青睐，尤其是哈雷品牌手表开始为消费者提供礼品表定制服务。定制范围包括：外观、功能、包装、品牌的深度定制以及在手表的表壳和底盖的个性化签名或留言的镭射定制。感兴趣的朋友请联系我们客服中心了解详情。,OEM,哈雷 HALEI,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Star-Rudder-Technology-Co-LTD/1S00OR5UD?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NPBE?fairCode=hkwatchfair&locale=en,
Guangzhou Pardwin Watch Limited,Chinese Mainland,"Manufacturer, Exporter","Mens Watch, Chronograph Watch, Ladies Watch, Mechanical Hands & Digital Watch, Designer Watch, Diver Watch, Quartz Analogue Watch, Sports Timer Watch, 24 Hour Dial Mechanical Watch, Mens Watch, Chronograph Watch, Ladies Watch, Mechanical Hands & Digital Watch, Designer Watch, Diver Watch, Quartz Analogue Watch, Sports Timer Watch, 24 Hour Dial Mechanical Watch, Mens Watch, Chronograph Watch, Ladies Watch, Mechanical Hands & Digital Watch, Designer Watch, Diver Watch, Quartz Analogue Watch, Sports Timer Watch, 24 Hour Dial Mechanical Watch, Mens Watch, Chronograph Watch, Ladies Watch, Mechanical Hands & Digital Watch, Designer Watch, Diver Watch, Quartz Analogue Watch, Sports Timer Watch, 24 Hour Dial Mechanical Watch","316L Stainless Steel Watch, Grade 5 Titanium Watch, Full Sapphire Case Watch, Carbon Fiber Watch ,CuSn8 Bronze Watch, Swiss Made Parts, Automatic Watch, Quartz Watch","OEM, ODM, OBM",PARDWIN,pardwincn.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pardwin-Watch-Limited/1S00OFTE1?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005PH54?fairCode=hkwatchfair&locale=en,
Lin Tai International Group (Hong Kong) Limited,Hong Kong,"Trade/Industrial Organisation, Manufacturer, Wholesaler, Exporter, Importer","Silicone Watch Band, Rubber Watch Band","Lin Tai is professional in Plastic watch case and Silicon straps. We have over 30 years experience in watch industry; we have our own technical team, tooling team and assembling team. All our products are qualified for RoHS and REACH.","OEM, ODM",,,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong International Jewellery Show 2026 Hong Kong Watch Mission to Jakarta, Indonesia HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2021 Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Lin-Tai-International-Group-Hong-Kong-Limited/1X09QNOF?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005N0JF?fairCode=hkwatchfair&locale=en,
Present Watch & Jewelry Company Limited,Hong Kong,Others,Brandname Watch,比辰鐘錶珠寶把自己定位為帶有東方美學特色的香港鐘錶品牌生產及銷售自家設計的原創手錶,OBM,PRESENT,www.present-watch.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong International Jewellery Show 2026 Hong Kong Watch Mission to Jakarta, Indonesia HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong International Jewellery Show 2025 Exploratory Study Mission to the Middle East Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/PRESENT-WATCH-JEWELRY-COMPANY-LIMITED/1S00OC9X0?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NCNR?fairCode=hkwatchfair&locale=en,
Solid Fame Development Ltd,Hong Kong,Exporter,"Digital Watch,Mechanical Hands & Digital Watch,Quartz Analogue Watch,Radio Control Watch,Solar Watch,Ladies Watch,Kids Watch,Mens Watch","""SKMEI"" brand stock 4000 SKU for our distributors/wholesalers to choose, full with all kinds of series, such as sport style , classic gent&lady style, kids watch, smart band, and now we are exploring many automatic watches with good quality.","ODM, OEM",SKMEI,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Electronics Fair 2021 (Autumn Edition) HKTDC International Sourcing Show 2021 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 Show More,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MI2C?fairCode=hkwatchfair&locale=en,
Time Token Company Limited,Chinese Mainland,"Manufacturer, Exporter","Ladies Watch, Chronograph Watch, Mens Watch, 24 Hour Dial Mechanical Watch",Watches,"OBM, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2018,,,"ISO 14001 Issued By Shenzhen Zhongbiao International Testing and Certification Co.,Ltd Type ISO_OTHERS Valid Date 28 Dec 2025 - 27 Dec 2028 ISO 9001 Issued By Shenzhen Zhongbiao International and Certification Co., Ltd Type ISO_9001 Valid Date 28 Dec 2025 - 27 Dec 2028 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Time-Token-Technologies-Co-Ltd-/1X0AI15S?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005PH47?fairCode=hkwatchfair&locale=en,
